date,cpi_index,eur_chf,usd_chf,unemployment_total,gdp,is_quarter_end,log_cpi,log_eur,log_usd,log_unemp,log_gdp,log_cpi_std,log_eur_std,log_usd_std,log_unemp_std,log_gdp_std
2002-01-31,94.2645,1.4738,1.6681,3.946988,129728.572251248,FALSE,4.54610466064886,0.387844099350762,0.511685254177873,1.37295275639233,11.7731996409641,-2.08288097166595,0.951673180248064,3.06816449769115,-1.30376775057158,-1.72253673987766
2002-02-28,94.2615,1.4774,1.6979,3.946988,,FALSE,4.5460728347999,0.3902837861125,0.529392193339829,1.37295275639233,,-2.08390450930493,0.965254426085824,3.18149027969229,-1.30376775057158,
2002-03-31,94.2767,1.468,1.6753,3.946988,,TRUE,4.546234075334,0.383900930192324,0.51599225371735,1.37295275639233,,-2.07871892082936,0.929722350100321,3.09572962831172,-1.30376775057158,
2002-04-30,95.0902,1.466,1.6549,3.946988,130062.645014663,FALSE,4.55482591481973,0.38253760346446,0.503740584042761,1.37295275639233,11.7757714980967,-1.80240041276676,0.922132984228157,3.01731799352869,-1.30376775057158,-1.70257476574993
2002-05-31,95.1815,1.4567,1.5876,3.946988,,FALSE,4.55578559518215,0.376173603472765,0.462223441926773,1.37295275639233,,-1.77153653938998,0.886705875406566,2.75160506857238,-1.30376775057158,
2002-06-30,95.0566,1.4716,1.5408,3.946988,,TRUE,4.55447250366214,0.386350244248482,0.432301762061724,1.37295275639233,,-1.81376631921314,0.943357189151079,2.56010400006586,-1.30376775057158,
2002-07-31,94.5556,1.4626,1.474,3.946988,129972.713834245,FALSE,4.5491880212723,0.380215673854714,0.387979793767145,1.37295275639233,11.7750798138243,-1.98371831753323,0.909207268786941,2.27643997033877,-1.30376775057158,-1.70794340904543
2002-08-31,94.5243,1.4639,1.4977,3.946988,,FALSE,4.54885694430128,0.381104107195229,0.403930598016213,1.37295275639233,,-1.99436594367157,0.914152998622931,2.37852635288853,-1.30376775057158,
2002-09-30,94.6676,1.4651,1.4938,3.946988,,TRUE,4.55037180859943,0.38192349952513,0.401323208940829,1.37295275639233,,-1.94564703505189,0.918714391029731,2.36183886086936,-1.30376775057158,
2002-10-31,95.2204,1.4649,1.4929,3.946988,129430.794806772,FALSE,4.5561942045557,0.381786980753587,0.400720537077407,1.37295275639233,11.770901614241,-1.75839542651558,0.917954418468141,2.35798171426781,-1.30376775057158,-1.74037332551446
2002-11-30,95.045,1.4673,1.4651,3.946988,,FALSE,4.55435046365812,0.383423977231284,0.38192349952513,1.37295275639233,,-1.81769119605607,0.927067248831374,2.23767921814282,-1.30376775057158,
2002-12-31,94.9867,1.468,1.441,3.946988,,TRUE,4.55373688179963,0.383900930192324,0.365337317017385,1.37295275639233,,-1.83742434214127,0.929722350100321,2.13152636552884,-1.30376775057158,
