date,cpi,eur_chf,gdp,log_cpi,log_gdp,log_eur
2000,92.5762,1.6097,124982.919884765,-2.33608107235163,-1.68719595981833,1.30512027219564
2000.08333333333,92.9241,1.6069,,-2.21469348497652,,1.29487598278151
2000.16666666667,92.8924,1.6046,,-2.22573526139504,,1.2864476681452
2000.25,92.9735,1.5738,,-2.1974939329991,,1.17240259845733
2000.33333333333,92.9278,1.5565,,-2.21340494268586,,1.10736188156203
2000.41666666667,93.2737,1.5598,,-2.09316968334999,,1.11982410686216
2000.5,93.3428,1.5508,,-2.06920388033353,,1.08577385649503
2000.58333333333,93.1013,1.5512,,-2.15304029389693,,1.08729139233316
2000.66666666667,93.568,1.53,,-1.99122120001371,,1.00631776752797
2000.75,93.4678,1.5133,125733.095872361,-2.02589544230857,-1.6421484086529,0.941737948998332
2000.83333333333,93.9132,1.5213,,-1.87204829903978,,0.972762842223846
2000.91666666667,93.8428,1.5135,,-1.89631679228761,,0.942515568291089
2001,93.7755,1.5291,128613.579216627,-1.9195336716337,-1.47163965428669,1.00285542839911
2001.08333333333,93.6486,1.5355,,-1.96335648068676,,1.02743235452169
2001.16666666667,93.7988,1.5357,,-1.9114938475362,,1.02819873185799
2001.25,94.0582,1.5287,,-1.82212074729432,,1.00131595682783
2001.33333333333,94.5687,1.5337,,-1.64695179294214,,1.02053046312468
2001.41666666667,94.7479,1.5225,,-1.5856866576484,,0.977402499613631
2001.5,94.6045,1.5134,,-1.63470316678567,,0.942126771490278
2001.58333333333,94.0797,1.5144,,-1.81472424957277,,0.946013583957209
2001.66666666667,94.1996,1.4919,,-1.77350684653677,,0.857933226940496
2001.75,94.0568,1.4796,128617.4636076,-1.82260243833307,-1.47141230773681,0.809219359143302
2001.83333333333,94.1827,1.4665,,-1.77931329490923,,0.756889757371828
2001.91666666667,94.148,1.4743,,-1.7912386773956,,0.788103862397443
2002,94.2645,1.4738,128680.229652804,-1.75121838782765,-1.46773967339152,0.786107917471506
2002.08333333333,94.2615,1.4774,,-1.75224833265254,,0.80046363253933
2002.16666666667,94.2767,1.468,,-1.74703028320222,,0.762905343358085
2002.25,95.0902,1.466,,-1.46898206439336,,0.754883194631247
2002.33333333333,95.1815,1.4567,,-1.43792498798496,,0.71743585835628
2002.41666666667,95.0566,1.4716,,-1.48041911964066,,0.777317707786694
2002.5,94.5556,1.4626,,-1.65143499095249,,0.741220391517414
2002.58333333333,94.5243,1.4639,,-1.66214926956909,,0.746448151118857
2002.66666666667,94.6676,1.4651,,-1.6131253881831,,0.751269656486391
2002.75,95.2204,1.4649,128581.445893613,-1.42470161379438,-1.47352062437016,0.750466346562996
2002.83333333333,95.045,1.4673,,-1.48436856560022,,0.760098835196127
2002.91666666667,94.9867,1.468,,-1.50422523810094,,0.762905343358085
2003,95.0627,1.4623,128122.435320386,-1.47834244917383,-1.50044090156664,0.740013325593716
2003.08333333333,95.1562,1.4672,,-1.44652818096492,,0.75969779616515
2003.16666666667,95.5392,1.469,,-1.3165342433635,,0.766912320141961
2003.25,95.729,1.4954,,-1.25230725799434,,0.871721509036478
2003.33333333333,95.5756,1.5148,,-1.30420685646278,,0.947567590352016
2003.41666666667,95.5776,1.5399,,-1.30352966358623,,1.04426964167543
2003.5,94.8114,1.5471,,-1.56400499397405,,1.07171806546408
2003.58333333333,95.0321,1.5404,,-1.48876118799849,,1.04617992483986
2003.66666666667,95.1697,1.5469,,-1.44193725979942,,1.07095733564017
2003.75,95.6525,1.5481,128357.695935613,-1.27817898751764,-1.48663119556027,1.07552024004696
2003.83333333333,95.5322,1.5587,,-1.31890543313321,,1.11567296370606
2003.91666666667,95.5508,1.5549,,-1.31260522564401,,1.10131007651128
2004,95.2265,1.5661,131725.938206312,-1.42262851554239,-1.2916452142492,1.1435425846287
2004.08333333333,95.2425,1.5731,,-1.41719151169755,,1.16978480209027
2004.16666666667,95.4465,1.5666,,-1.34794966374653,,1.14542091489642
2004.25,96.2516,1.5547,,-1.07611894728378,,1.10055316305773
2004.33333333333,96.474,1.5408,,-1.00142945153615,,1.04770770498079
2004.41666666667,96.6405,1.5187,,-0.945625697019697,,0.962697683541213
2004.5,95.6291,1.5268,,-1.28609682570112,,0.993997961552099
2004.58333333333,95.9834,1.5381,,-1.16641952969543,,1.03738748278594
2004.66666666667,95.989,1.5431,,-1.1645314810014,,1.05648475120323
2004.75,96.8889,1.5427,133029.643837379,-0.862550986248794,-1.21750962628872,1.05495924852316
2004.83333333333,96.9819,1.5221,,-0.831502921346868,,0.975856353594163
2004.91666666667,96.8232,1.5359,,-0.884502910481494,,1.02896500939257
2005,96.3739,1.5467,134092.677013776,-1.0350251102349,-1.15759570533789,1.0701965074545
2005.08333333333,96.5857,1.5499,,-0.963981716720868,,1.08235796923701
2005.16666666667,96.822,1.5489,,-0.884903997372463,,1.07856021179284
2005.25,97.6145,1.5471,,-0.621096071671124,,1.07171806546408
2005.33333333333,97.5176,1.5448,,-0.653237047073253,,1.06296372903035
2005.41666666667,97.2984,1.5382,,-0.726061975942743,,1.03777003618982
2005.5,96.7662,1.5581,,-0.903560029773122,,1.11340746887068
2005.58333333333,96.9056,1.5526,,-0.856973493902826,,1.09259968784854
2005.66666666667,97.3296,1.5491,,-0.715686375572138,,1.07931995939618
2005.75,98.1806,1.5489,135485.661705585,-0.43396043275465,-1.07980028591441,1.07856021179284
2005.83333333333,97.9047,1.5452,,-0.525029504148337,,1.0644871582116
2005.91666666667,97.7976,1.5478,,-0.560450237006855,,1.07437984561597
2006,97.6179,1.5491,141119.946075718,-0.619968897620408,-0.773091181701915,1.07931995939618
2006.08333333333,97.9221,1.5578,,-0.519278534436311,,1.11227439427947
2006.16666666667,97.8182,1.5688,,-0.553634273602341,,1.15367845238439
2006.25,98.6484,1.5749,,-0.280132250803131,,1.17651392691735
2006.33333333333,98.8457,1.5565,,-0.215472048072235,,1.10736188156203
2006.41666666667,98.8184,1.56,,-0.224411251252836,,1.12057854563231
2006.5,98.1449,1.5686,,-0.445729863746328,,1.15292824582001
2006.58333333333,98.3128,1.5775,,-0.390414508650319,,1.18622020844021
2006.66666666667,98.1023,1.5837,,-0.459779662222421,,1.20930154900225
2006.75,98.4347,1.5897,142521.871188354,-0.350313204505108,-0.698678509132481,1.23155245537939
2006.83333333333,98.3919,1.5922,,-0.364387411804246,,1.24079889051335
2006.91666666667,98.405,1.5966,,-0.360079002040859,,1.25703740984488
2007,97.7176,1.6157,147671.942494034,-0.586933618878985,-0.431464327683552,1.32701244792766
2007.08333333333,97.9109,1.6213,,-0.522980190841563,,1.34737192020462
2007.16666666667,97.9871,1.6126,,-0.497804062187939,,1.31571166072457
2007.25,99.0963,1.6374,,-0.133529907892007,,1.40551603794151
2007.33333333333,99.3281,1.65,,-0.0579193379813603,,1.45062271940765
2007.41666666667,99.4418,1.6542,,-0.0208961466912734,,1.46558176732552
2007.5,98.8518,1.6567,,-0.213474981162052,,1.47446794071951
2007.58333333333,98.7412,1.6377,,-0.24970324946126,,1.40659403467985
2007.66666666667,98.8352,1.6475,,-0.218909910929902,,1.44170043539379
2007.75,99.6792,1.6704,149859.684309974,0.0562701776173892,-0.320761282320228,1.52292732852485
2007.83333333333,100.1337,1.6485,,0.203492977082354,,1.44527097262697
2007.91666666667,100.3771,1.6586,,0.282061208202222,,1.48121246885603
2008,100.0885,1.6189,153067.271529642,0.18888163289147,-0.161340257856262,1.33865505642215
2008.08333333333,100.2261,1.6087,,0.233341673615509,,1.3014636444495
2008.16666666667,100.565,1.5711,,0.342584135898161,,1.16229896025661
2008.25,101.3596,1.5954,,0.597282132739383,,1.25261316514041
2008.33333333333,102.1644,1.6245,,0.853222365120887,,1.35897435453563
2008.41666666667,102.3372,1.6138,,0.907912763812193,,1.32008873395869
2008.5,101.8912,1.6186,,0.76656681278243,,1.33756453993784
2008.58333333333,101.6259,1.6204,,0.682194384497327,,1.34410460935054
2008.66666666667,101.7283,1.5945,,0.71478636897894,,1.24929279722776
2008.75,102.2689,1.5202,154024.492544775,0.88630717529715,-0.114412017274101,0.968506606826891
2008.83333333333,101.5877,1.5152,,0.670027635276242,,0.9491211864481
2008.91666666667,101.0807,1.5397,,0.508112747002796,,1.04350535473063
2009,100.2277,1.494,149538.738081878,0.233858291750407,-0.336900101094765,0.866210072725585
2009.08333333333,100.4641,1.4905,,0.310098136458974,,0.852408854718981
2009.16666666667,100.1385,1.5068,,0.20504423684245,,0.916409216357134
2009.25,101.0213,1.5151,,0.489089712119816,,0.948732825877735
2009.33333333333,101.1824,1.5118,,0.54065654896331,,0.935902526372317
2009.41666666667,101.364,1.5145,,0.598686925707937,,0.946402124033268
2009.5,100.6913,1.5202,,0.383202074758576,,0.968506606826891
